Source,Type,Target,Weight
Александр Петрович,Undirected,Аристарх Доминикович,16
Александр Петрович,Undirected,Виктор Викторович,15
Александр Петрович,Undirected,Вторая старуха,1
Александр Петрович,Undirected,Груня,5
Александр Петрович,Undirected,Егор Тимофеевич (Егорушка),7
Александр Петрович,Undirected,Зинка Падеспань,5
Александр Петрович,Undirected,Клеопатра Максимовна,6
Александр Петрович,Undirected,Маргарита Ивановна Пересветова,14
Александр Петрович,Undirected,Мария Лукьяновна,13
Александр Петрович,Undirected,Никифор Арсентьевич,1
Александр Петрович,Undirected,Никифор Арсентьевич (Пугачев),11
Александр Петрович,Undirected,Олег Леонидович,2
Александр Петрович,Undirected,Отец Елпидий,13
Александр Петрович,Undirected,Первая старуха,1
Александр Петрович,Undirected,Раиса Филипповна,10
Александр Петрович,Undirected,Семен Семенович,12
Александр Петрович,Undirected,Серафима Ильинична,11
Александр Петрович,Undirected,Степан Васильевич Пересветов,4
Александр Петрович,Undirected,Третье старуха (Панкратьевна),1
Александр Петрович,Undirected,Федя Питунин*,4
Александр Петрович,Undirected,Цыгане,2
Александр Петрович,Undirected,Четвертая старуха,1
Александр Петрович,Undirected,глухонемой,1
Александр Петрович,Undirected,гуляющая публика,3
Александр Петрович,Undirected,дьякон,6
Александр Петрович,Undirected,жильцы,3
Александр Петрович,Undirected,любопытные,3
Александр Петрович,Undirected,модистка,1
Александр Петрович,Undirected,портниха,1
Александр Петрович,Undirected,проститутки,3
Александр Петрович,Undirected,старухи,3
Александр Петрович,Undirected,факельщики,4
Александр Петрович,Undirected,церковные певчие,6
Аристарх Доминикович,Undirected,Виктор Викторович,19
Аристарх Доминикович,Undirected,Вторая старуха,1
Аристарх Доминикович,Undirected,Груня,7
Аристарх Доминикович,Undirected,Егор Тимофеевич (Егорушка),8
Аристарх Доминикович,Undirected,Зинка Падеспань,7
Аристарх Доминикович,Undirected,Клеопатра Максимовна,6
Аристарх Доминикович,Undirected,Маргарита Ивановна Пересветова,11
Аристарх Доминикович,Undirected,Мария Лукьяновна,8
Аристарх Доминикович,Undirected,Никифор Арсентьевич,1
Аристарх Доминикович,Undirected,Никифор Арсентьевич (Пугачев),15
Аристарх Доминикович,Undirected,Олег Леонидович,2
Аристарх Доминикович,Undirected,Отец Елпидий,17
Аристарх Доминикович,Undirected,Первая старуха,1
Аристарх Доминикович,Undirected,Раиса Филипповна,12
Аристарх Доминикович,Undirected,Семен Семенович,14
Аристарх Доминикович,Undirected,Серафима Ильинична,8
Аристарх Доминикович,Undirected,Степан Васильевич Пересветов,4
Аристарх Доминикович,Undirected,Третье старуха (Панкратьевна),1
Аристарх Доминикович,Undirected,Федя Питунин*,5
Аристарх Доминикович,Undirected,Цыгане,2
Аристарх Доминикович,Undirected,Четвертая старуха,1
Аристарх Доминикович,Undirected,глухонемой,2
Аристарх Доминикович,Undirected,гуляющая публика,3
Аристарх Доминикович,Undirected,дьякон,9
Аристарх Доминикович,Undirected,жильцы,3
Аристарх Доминикович,Undirected,любопытные,3
Аристарх Доминикович,Undirected,модистка,1
Аристарх Доминикович,Undirected,портниха,1
Аристарх Доминикович,Undirected,проститутки,3
Аристарх Доминикович,Undirected,старухи,3
Аристарх Доминикович,Undirected,факельщики,4
Аристарх Доминикович,Undirected,церковные певчие,9
Виктор Викторович,Undirected,Вторая старуха,1
Виктор Викторович,Undirected,Груня,7
Виктор Викторович,Undirected,Егор Тимофеевич (Егорушка),8
Виктор Викторович,Undirected,Зинка Падеспань,7
Виктор Викторович,Undirected,Клеопатра Максимовна,6
Виктор Викторович,Undirected,Маргарита Ивановна Пересветова,10
Виктор Викторович,Undirected,Мария Лукьяновна,7
Виктор Викторович,Undirected,Никифор Арсентьевич,2
Виктор Викторович,Undirected,Никифор Арсентьевич (Пугачев),16
Виктор Викторович,Undirected,Олег Леонидович,2
Виктор Викторович,Undirected,Отец Елпидий,17
Виктор Викторович,Undirected,Первая старуха,1
Виктор Викторович,Undirected,Раиса Филипповна,12
Виктор Викторович,Undirected,Семен Семенович,13
Виктор Викторович,Undirected,Серафима Ильинична,7
Виктор Викторович,Undirected,Степан Васильевич Пересветов,4
Виктор Викторович,Undirected,Третье старуха (Панкратьевна),1
Виктор Викторович,Undirected,Федя Питунин*,5
Виктор Викторович,Undirected,Цыгане,2
Виктор Викторович,Undirected,Четвертая старуха,1
Виктор Викторович,Undirected,глухонемой,2
Виктор Викторович,Undirected,гуляющая публика,3
Виктор Викторович,Undirected,дьякон,9
Виктор Викторович,Undirected,жильцы,3
Виктор Викторович,Undirected,любопытные,3
Виктор Викторович,Undirected,проститутки,3
Виктор Викторович,Undirected,старухи,3
Виктор Викторович,Undirected,факельщики,4
Виктор Викторович,Undirected,церковные певчие,9
Вторая старуха,Undirected,Первая старуха,1
Второй мальчик из "Вечности",Undirected,Первый мальчик из "Вечности",1
Второй мальчик из "Вечности",Undirected,Семен Семенович,1
Второй мужчина с гробом,Undirected,Первый мужчина с гробом,1
Второй мужчина с гробом,Undirected,Семен Семенович,1
Второй мужчина с гробом,Undirected,Третий мужчина с гробом,1
Второй подозрительный тип,Undirected,Мария Лукьяновна,1
Второй подозрительный тип,Undirected,Первый подозрительный тип,1
Второй подозрительный тип,Undirected,Семен Семенович,1
Второй подозрительный тип,Undirected,Серафима Ильинична,1
Груня,Undirected,Егор Тимофеевич (Егорушка),5
Груня,Undirected,Зинка Падеспань,7
Груня,Undirected,Клеопатра Максимовна,4
Груня,Undirected,Маргарита Ивановна Пересветова,7
Груня,Undirected,Мария Лукьяновна,4
Груня,Undirected,Никифор Арсентьевич (Пугачев),7
Груня,Undirected,Отец Елпидий,7
Груня,Undirected,Раиса Филипповна,7
Груня,Undirected,Семен Семенович,7
Груня,Undirected,Серафима Ильинична,4
Груня,Undirected,Степан Васильевич Пересветов,4
Груня,Undirected,Федя Питунин*,1
Груня,Undirected,Цыгане,2
Груня,Undirected,глухонемой,2
Груня,Undirected,дьякон,5
Груня,Undirected,факельщики,1
Груня,Undirected,церковные певчие,5
Егор Тимофеевич (Егорушка),Undirected,Зинка Падеспань,5
Егор Тимофеевич (Егорушка),Undirected,Клеопатра Максимовна,4
Егор Тимофеевич (Егорушка),Undirected,Маргарита Ивановна Пересветова,9
Егор Тимофеевич (Егорушка),Undirected,Мария Лукьяновна,9
Егор Тимофеевич (Егорушка),Undirected,Никифор Арсентьевич (Пугачев),8
Егор Тимофеевич (Егорушка),Undirected,Олег Леонидович,2
Егор Тимофеевич (Егорушка),Undirected,Отец Елпидий,8
Егор Тимофеевич (Егорушка),Undirected,Раиса Филипповна,8
Егор Тимофеевич (Егорушка),Undirected,Семен Семенович,8
Егор Тимофеевич (Егорушка),Undirected,Серафима Ильинична,10
Егор Тимофеевич (Егорушка),Undirected,Степан Васильевич Пересветов,2
Егор Тимофеевич (Егорушка),Undirected,Федя Питунин*,2
Егор Тимофеевич (Егорушка),Undirected,Цыгане,1
Егор Тимофеевич (Егорушка),Undirected,глухонемой,2
Егор Тимофеевич (Егорушка),Undirected,гуляющая публика,3
Егор Тимофеевич (Егорушка),Undirected,дьякон,7
Егор Тимофеевич (Егорушка),Undirected,жильцы,3
Егор Тимофеевич (Егорушка),Undirected,любопытные,3
Егор Тимофеевич (Егорушка),Undirected,проститутки,3
Егор Тимофеевич (Егорушка),Undirected,старухи,3
Егор Тимофеевич (Егорушка),Undirected,факельщики,4
Егор Тимофеевич (Егорушка),Undirected,церковные певчие,7
Зинка Падеспань,Undirected,Клеопатра Максимовна,4
Зинка Падеспань,Undirected,Маргарита Ивановна Пересветова,7
Зинка Падеспань,Undirected,Мария Лукьяновна,4
Зинка Падеспань,Undirected,Никифор Арсентьевич (Пугачев),7
Зинка Падеспань,Undirected,Отец Елпидий,7
Зинка Падеспань,Undirected,Раиса Филипповна,7
Зинка Падеспань,Undirected,Семен Семенович,7
Зинка Падеспань,Undirected,Серафима Ильинична,4
Зинка Падеспань,Undirected,Степан Васильевич Пересветов,4
Зинка Падеспань,Undirected,Федя Питунин*,1
Зинка Падеспань,Undirected,Цыгане,2
Зинка Падеспань,Undirected,глухонемой,2
Зинка Падеспань,Undirected,дьякон,5
Зинка Падеспань,Undirected,факельщики,1
Зинка Падеспань,Undirected,церковные певчие,5
Клеопатра Максимовна,Undirected,Маргарита Ивановна Пересветова,6
Клеопатра Максимовна,Undirected,Мария Лукьяновна,4
Клеопатра Максимовна,Undirected,Никифор Арсентьевич (Пугачев),6
Клеопатра Максимовна,Undirected,Олег Леонидович,3
Клеопатра Максимовна,Undirected,Отец Елпидий,6
Клеопатра Максимовна,Undirected,Раиса Филипповна,6
Клеопатра Максимовна,Undirected,Семен Семенович,8
Клеопатра Максимовна,Undirected,Серафима Ильинична,3
Клеопатра Максимовна,Undirected,Степан Васильевич Пересветов,4
Клеопатра Максимовна,Undirected,Федя Питунин*,2
Клеопатра Максимовна,Undirected,Цыгане,2
Клеопатра Максимовна,Undirected,гуляющая публика,2
Клеопатра Максимовна,Undirected,дьякон,4
Клеопатра Максимовна,Undirected,жильцы,2
Клеопатра Максимовна,Undirected,любопытные,2
Клеопатра Максимовна,Undirected,проститутки,2
Клеопатра Максимовна,Undirected,старухи,2
Клеопатра Максимовна,Undirected,факельщики,2
Клеопатра Максимовна,Undirected,церковные певчие,4
Маргарита Ивановна Пересветова,Undirected,Мария Лукьяновна,13
Маргарита Ивановна Пересветова,Undirected,Никифор Арсентьевич (Пугачев),10
Маргарита Ивановна Пересветова,Undirected,Олег Леонидович,2
Маргарита Ивановна Пересветова,Undirected,Отец Елпидий,11
Маргарита Ивановна Пересветова,Undirected,Раиса Филипповна,10
Маргарита Ивановна Пересветова,Undirected,Семен Семенович,10
Маргарита Ивановна Пересветова,Undirected,Серафима Ильинична,12
Маргарита Ивановна Пересветова,Undirected,Степан Васильевич Пересветов,4
Маргарита Ивановна Пересветова,Undirected,Федя Питунин*,2
Маргарита Ивановна Пересветова,Undirected,Цыгане,2
Маргарита Ивановна Пересветова,Undirected,глухонемой,2
Маргарита Ивановна Пересветова,Undirected,гуляющая публика,3
Маргарита Ивановна Пересветова,Undirected,дьякон,8
Маргарита Ивановна Пересветова,Undirected,жильцы,3
Маргарита Ивановна Пересветова,Undirected,любопытные,3
Маргарита Ивановна Пересветова,Undirected,модистка,1
Маргарита Ивановна Пересветова,Undirected,портниха,1
Маргарита Ивановна Пересветова,Undirected,проститутки,3
Маргарита Ивановна Пересветова,Undirected,старухи,3
Маргарита Ивановна Пересветова,Undirected,факельщики,4
Маргарита Ивановна Пересветова,Undirected,церковные певчие,8
Мария Лукьяновна,Undirected,Никифор Арсентьевич (Пугачев),7
Мария Лукьяновна,Undirected,Олег Леонидович,2
Мария Лукьяновна,Undirected,Отец Елпидий,8
Мария Лукьяновна,Undirected,Первый подозрительный тип,1
Мария Лукьяновна,Undirected,Раиса Филипповна,7
Мария Лукьяновна,Undirected,Семен Семенович,17
Мария Лукьяновна,Undirected,Серафима Ильинична,25
Мария Лукьяновна,Undirected,Степан Васильевич Пересветов,1
Мария Лукьяновна,Undirected,Федя Питунин*,1
Мария Лукьяновна,Undirected,глухонемой,2
Мария Лукьяновна,Undirected,гуляющая публика,3
Мария Лукьяновна,Undirected,дьякон,7
Мария Лукьяновна,Undirected,жильцы,3
Мария Лукьяновна,Undirected,любопытные,3
Мария Лукьяновна,Undirected,модистка,1
Мария Лукьяновна,Undirected,портниха,1
Мария Лукьяновна,Undirected,проститутки,3
Мария Лукьяновна,Undirected,старухи,3
Мария Лукьяновна,Undirected,факельщики,4
Мария Лукьяновна,Undirected,церковные певчие,7
Молодой человек,Undirected,Семен Семенович,3
Молодой человек,Undirected,Старушка,2
Никифор Арсентьевич (Пугачев),Undirected,Олег Леонидович,2
Никифор Арсентьевич (Пугачев),Undirected,Отец Елпидий,15
Никифор Арсентьевич (Пугачев),Undirected,Раиса Филипповна,11
Никифор Арсентьевич (Пугачев),Undirected,Семен Семенович,13
Никифор Арсентьевич (Пугачев),Undirected,Серафима Ильинична,7
Никифор Арсентьевич (Пугачев),Undirected,Степан Васильевич Пересветов,4
Никифор Арсентьевич (Пугачев),Undirected,Федя Питунин*,3
Никифор Арсентьевич (Пугачев),Undirected,Цыгане,2
Никифор Арсентьевич (Пугачев),Undirected,глухонемой,2
Никифор Арсентьевич (Пугачев),Undirected,гуляющая публика,3
Никифор Арсентьевич (Пугачев),Undirected,дьякон,9
Никифор Арсентьевич (Пугачев),Undirected,жильцы,3
Никифор Арсентьевич (Пугачев),Undirected,любопытные,3
Никифор Арсентьевич (Пугачев),Undirected,проститутки,3
Никифор Арсентьевич (Пугачев),Undirected,старухи,3
Никифор Арсентьевич (Пугачев),Undirected,факельщики,4
Никифор Арсентьевич (Пугачев),Undirected,церковные певчие,9
Никифор Арсентьевич,Undirected,Отец Елпидий,2
Никифор Арсентьевич,Undirected,Раиса Филипповна,1
Никифор Арсентьевич,Undirected,Федя Питунин*,1
Олег Леонидович,Undirected,Отец Елпидий,2
Олег Леонидович,Undirected,Раиса Филипповна,2
Олег Леонидович,Undirected,Семен Семенович,2
Олег Леонидович,Undirected,Серафима Ильинична,2
Олег Леонидович,Undirected,Федя Питунин*,1
Олег Леонидович,Undirected,гуляющая публика,2
Олег Леонидович,Undirected,дьякон,2
Олег Леонидович,Undirected,жильцы,2
Олег Леонидович,Undirected,любопытные,2
Олег Леонидович,Undirected,проститутки,2
Олег Леонидович,Undirected,старухи,2
Олег Леонидович,Undirected,факельщики,2
Олег Леонидович,Undirected,церковные певчие,2
Отец Елпидий,Undirected,Раиса Филипповна,12
Отец Елпидий,Undirected,Семен Семенович,13
Отец Елпидий,Undirected,Серафима Ильинична,8
Отец Елпидий,Undirected,Степан Васильевич Пересветов,4
Отец Елпидий,Undirected,Федя Питунин*,4
Отец Елпидий,Undirected,Цыгане,2
Отец Елпидий,Undirected,глухонемой,2
Отец Елпидий,Undirected,гуляющая публика,3
Отец Елпидий,Undirected,дьякон,9
Отец Елпидий,Undirected,жильцы,3
Отец Елпидий,Undirected,любопытные,3
Отец Елпидий,Undirected,модистка,1
Отец Елпидий,Undirected,портниха,1
Отец Елпидий,Undirected,проститутки,3
Отец Елпидий,Undirected,старухи,3
Отец Елпидий,Undirected,факельщики,4
Отец Елпидий,Undirected,церковные певчие,9
Первый мальчик из "Вечности",Undirected,Семен Семенович,1
Первый мужчина с гробом,Undirected,Семен Семенович,1
Первый мужчина с гробом,Undirected,Третий мужчина с гробом,1
Первый подозрительный тип,Undirected,Семен Семенович,1
Первый подозрительный тип,Undirected,Серафима Ильинична,1
Раиса Филипповна,Undirected,Семен Семенович,11
Раиса Филипповна,Undirected,Серафима Ильинична,7
Раиса Филипповна,Undirected,Степан Васильевич Пересветов,4
Раиса Филипповна,Undirected,Федя Питунин*,3
Раиса Филипповна,Undirected,Цыгане,2
Раиса Филипповна,Undirected,глухонемой,2
Раиса Филипповна,Undirected,гуляющая публика,3
Раиса Филипповна,Undirected,дьякон,8
Раиса Филипповна,Undirected,жильцы,3
Раиса Филипповна,Undirected,любопытные,3
Раиса Филипповна,Undirected,проститутки,3
Раиса Филипповна,Undirected,старухи,3
Раиса Филипповна,Undirected,факельщики,4
Раиса Филипповна,Undirected,церковные певчие,8
Семен Семенович,Undirected,Серафима Ильинична,18
Семен Семенович,Undirected,Старушка,2
Семен Семенович,Undirected,Степан Васильевич Пересветов,4
Семен Семенович,Undirected,Третий мужчина с гробом,1
Семен Семенович,Undirected,Федя Питунин*,3
Семен Семенович,Undirected,Цыгане,2
Семен Семенович,Undirected,глухонемой,2
Семен Семенович,Undirected,гуляющая публика,3
Семен Семенович,Undirected,дьякон,9
Семен Семенович,Undirected,жильцы,3
Семен Семенович,Undirected,любопытные,3
Семен Семенович,Undirected,проститутки,3
Семен Семенович,Undirected,старухи,3
Семен Семенович,Undirected,факельщики,4
Семен Семенович,Undirected,церковные певчие,9
Серафима Ильинична,Undirected,Степан Васильевич Пересветов,1
Серафима Ильинична,Undirected,Федя Питунин*,1
Серафима Ильинична,Undirected,глухонемой,2
Серафима Ильинична,Undirected,гуляющая публика,3
Серафима Ильинична,Undirected,дьякон,7
Серафима Ильинична,Undirected,жильцы,3
Серафима Ильинична,Undirected,любопытные,3
Серафима Ильинична,Undirected,модистка,1
Серафима Ильинична,Undirected,портниха,1
Серафима Ильинична,Undirected,проститутки,3
Серафима Ильинична,Undirected,старухи,3
Серафима Ильинична,Undirected,факельщики,4
Серафима Ильинична,Undirected,церковные певчие,7
Степан Васильевич Пересветов,Undirected,Федя Питунин*,1
Степан Васильевич Пересветов,Undirected,Цыгане,2
Степан Васильевич Пересветов,Undirected,дьякон,2
Степан Васильевич Пересветов,Undirected,церковные певчие,2
Третье старуха (Панкратьевна),Undirected,Четвертая старуха,1
Федя Питунин*,Undirected,Цыгане,1
Федя Питунин*,Undirected,гуляющая публика,1
Федя Питунин*,Undirected,дьякон,2
Федя Питунин*,Undirected,жильцы,1
Федя Питунин*,Undirected,любопытные,1
Федя Питунин*,Undirected,проститутки,1
Федя Питунин*,Undirected,старухи,1
Федя Питунин*,Undirected,факельщики,1
Федя Питунин*,Undirected,церковные певчие,2
глухонемой,Undirected,дьякон,2
глухонемой,Undirected,факельщики,1
глухонемой,Undirected,церковные певчие,2
гуляющая публика,Undirected,дьякон,3
гуляющая публика,Undirected,жильцы,3
гуляющая публика,Undirected,любопытные,3
гуляющая публика,Undirected,проститутки,3
гуляющая публика,Undirected,старухи,3
гуляющая публика,Undirected,факельщики,3
гуляющая публика,Undirected,церковные певчие,3
дьякон,Undirected,жильцы,3
дьякон,Undirected,любопытные,3
дьякон,Undirected,проститутки,3
дьякон,Undirected,старухи,3
дьякон,Undirected,факельщики,4
дьякон,Undirected,церковные певчие,9
жильцы,Undirected,любопытные,3
жильцы,Undirected,проститутки,3
жильцы,Undirected,старухи,3
жильцы,Undirected,факельщики,3
жильцы,Undirected,церковные певчие,3
любопытные,Undirected,проститутки,3
любопытные,Undirected,старухи,3
любопытные,Undirected,факельщики,3
любопытные,Undirected,церковные певчие,3
модистка,Undirected,портниха,1
проститутки,Undirected,старухи,3
проститутки,Undirected,факельщики,3
проститутки,Undirected,церковные певчие,3
старухи,Undirected,факельщики,3
старухи,Undirected,церковные певчие,3
факельщики,Undirected,церковные певчие,4
